     N     Average Time    Average Count
     5      1.05333e-06      6.64318e+08
    10      1.76667e-06      3.85453e+08
    25      4.91667e-06      1.30384e+08
    50      7.31667e-06      8.54202e+07
   100        1.651e-05      3.04237e+07
   250      3.47733e-05      1.01516e+07
   500        8.812e-05      7.52624e+06
  1000       0.00014503      3.19031e+06
  2500      0.000325117      1.27912e+06
  5000      0.000755157           805506
 10000         0.001575           366227
 25000       0.00380789           127238
 50000       0.00823957          75599.3
100000        0.0162192          43527.4
