     N     Average Time    Average Count
     5          1.7e-07                8
    10      2.33333e-07               18
    25      2.53333e-07               48
    50      4.93333e-07               98
   100      4.63333e-07              198
   250            9e-07              498
   500      1.70333e-06              998
  1000      3.36667e-06             1998
  2500          7.6e-06             4998
  5000      1.34833e-05             9998
 10000        2.799e-05            19998
 25000      6.74233e-05            49998
 50000      0.000154777            99998
100000      0.000287707           199998
